name,url,long,lat,country
Google DNS,8.8.8.8,-97.822,37.751,United States
Google DNS,8.8.4.4,-97.822,37.751,United States
Cloudflare DNS,1.1.1.1,-122.419,37.7749,United States
Cloudflare DNS,1.0.0.1,-122.419,37.7749,United States
OpenDNS,208.67.222.222,-122.419,37.7749,United States
OpenDNS,208.67.220.220,-122.419,37.7749,United States
Quad9 DNS,9.9.9.9,-84.387,33.749,United States
Quad9 DNS,149.112.112.112,-84.387,33.749,United States
Yandex DNS,77.88.8.8,37.6225,55.7558,Russia
Yandex DNS,77.88.8.1,37.6225,55.7558,Russia
Comodo Secure DNS,8.26.56.26,-97.7431,30.2672,United States
Comodo Secure DNS,8.20.247.20,-97.7431,30.2672,United States
CleanBrowsing DNS,185.228.168.168,-58.4173,-34.6118,Argentina
CleanBrowsing DNS,185.228.169.168,-58.4173,-34.6118,Argentina
Level3 DNS,4.2.2.1,-97.822,37.751,United States
Level3 DNS,4.2.2.2,-97.822,37.751,United States
Neustar DNS,156.154.70.1,-77.0369,38.9072,United States
Neustar DNS,156.154.71.1,-77.0369,38.9072,United States
