name,url,long,lat,country
United States,8.8.8.8,-97.822,37.751,United States
United States,8.8.4.4,-97.822,37.751,United States
United States,1.1.1.1,-122.419,37.7749,United States
United States,1.0.0.1,-122.419,37.7749,United States
United States,208.67.222.222,-122.419,37.7749,United States
United States,208.67.220.220,-122.419,37.7749,United States
United States,9.9.9.9,-84.387,33.749,United States
United States,149.112.112.112,-84.387,33.749,United States
Russia,77.88.8.8,37.6225,55.7558,Russia
Russia,77.88.8.1,37.6225,55.7558,Russia
United States,8.26.56.26,-97.7431,30.2672,United States
United States,8.20.247.20,-97.7431,30.2672,United States
Argentina,185.228.168.168,-58.4173,-34.6118,Argentina
Argentina,185.228.169.168,-58.4173,-34.6118,Argentina
United States,4.2.2.1,-97.822,37.751,United States
United States,4.2.2.2,-97.822,37.751,United States
United States,156.154.70.1,-77.0369,38.9072,United States
United States,156.154.71.1,-77.0369,38.9072,United States
